,Unnamed: 0,#,Name,Article,Ring,Date,Links.1,Id_second_page
1069,109,39,$1000 1.30m Jr/Am Power/Speed,II.2d Power and Speed,Main Ring,2021-07-22,/results?id=us_11876&show=us_419,419
1070,110,36,$1000 1.20m Jr/Am Power/Speed,II.2d Power and Speed,Main Ring,2021-07-22,/results?id=us_11873&show=us_419,419
1071,111,21,$2000 ESI 1.35m J/O,II.2b Immediate JO,Main Ring,2021-07-22,/results?id=us_11864&show=us_419,419
1072,112,18,Est. 9:00 $500 1.30m Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11861&show=us_419,419
1073,113,14,$500 1.20m Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11857&show=us_419,419
1074,114,9,Est. 2:00 1.10m Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11854&show=us_419,419
1075,115,6,Est. 12:30 eHorses 1.0m Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11852&show=us_419,419
1076,116,1,Est. 10:30 .85m Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11847&show=us_419,419
1077,117,5002,Hunter Ring Tickets,Hunters,Hunter Arena,2021-07-21,/results?id=us_12014&show=us_419,419
1078,118,5001,Zone Ring Jumper Tickets - 1.10m,Training,Zone Championships,2021-07-21,/results?id=us_12013&show=us_419,419
1079,119,5000,Zone Ring Jumper Tickets - .85m,Training,Zone Championships,2021-07-21,/results?id=us_12012&show=us_419,419
1080,120,1401,"$3000 1.40m Platinum Jumper Ind Qual, 1st Rnd Team",II.1 Speed,Main Ring,2021-07-21,/results?id=us_11959&show=us_419,419
1081,121,1201,"Est. 2:15 $500 Zone 1.20/1.30m Jr/Am Ind Qual, Round 1 Team",II.1 Speed,Arena 2,2021-07-21,/results?id=us_11951&show=us_419,419
1082,122,1101,"Est. 1:00 $500 Zone 1.10m Ch/Ad Rnd 1 Team, Ind Qual",II.1 Speed,Arena 2,2021-07-21,/results?id=us_11947&show=us_419,419
1083,123,1700,Zone and Platinum Jog,Hunters - Under Saddle,Main Ring,2021-07-21,/results?id=us_11946&show=us_419,419
1084,124,700,FEI Jog,Hunters - Under Saddle,Main Ring,2021-07-21,/results?id=us_11888&show=us_419,419
1085,125,20,$1000 ESI 1.35m,II.1 Speed,Main Ring,2021-07-21,/results?id=us_11863&show=us_419,419
1086,126,17,$500 1.30m J/O,II.2b Immediate JO,Main Ring,2021-07-21,/results?id=us_11860&show=us_419,419
1087,127,13,$500 1.20m J/O,II.2b Immediate JO,Main Ring,2021-07-21,/results?id=us_11856&show=us_419,419
1088,128,8,Est. 11:00 1.10m J/O,II.2b Immediate JO,Arena 2,2021-07-21,/results?id=us_11853&show=us_419,419
1089,129,5,eHorses 1.0m J/O,II.2b Immediate JO,Arena 2,2021-07-21,/results?id=us_11851&show=us_419,419
